threshold	minimum_nuclei	analysis_role	cell_type	contrast	set_id	set_label	NES	pval	padj	comparison_FDR	global_primary_FDR	direction	size	ES	ranked_genes	leadingEdge	log2err	record_type	analysis	gene	log2FC	AveExpr	t	PValue	FDR	treat_t	treat_PValue	treat_FDR	n_samples	n_donors	duplicate_correlation	global_FDR	global_treat_FDR
min30_primary	30	primary	OPC	ALS_vs_Ctrl_mean	protein_folding	Protein folding	1.46135177145963	0.0083975239540757	0.0293913338392649	0.0293913338392649	0.0188944288966703	positive	140	0.316631325833792	12825	CLU;DNAJB2;CRYAB;BAG3;HSP90AB1;PDIA4;TTC1;BAG2;PDIA3;FKBP10;PDIA5;HSPA9;PTGES3;CALR;HSPB1;PDIA6;HSP90B1;HSPH1;DNAJC7;HSPA8;CCT4;HSP90AA1;COX19;ERO1B;DNAJC21;LMAN2L;PPIF;ERO1A;ST13;DNAJA3;CRTAP;TBCE;TBCD;CHORDC1;CCT5;HSPA4L;FKBP4;CCT3;ATF6;RANBP2;DNAJB1;RIC8A;HSPA5	0.380730400722792	seven_family_primary_axis															
min30_primary	30	primary	OPC	ALS_vs_Ctrl_mean	protein_stabilization	Protein stabilization	1.30813121400575	0.0418290972442123	0.097601226903162	0.097601226903162	0.0693482401680361	positive	180	0.272453922018534	12825	FLNA;CLU;ZSWIM7;FLOT2;CRYAB;BAG3;RAB21;HSP90AB1;UBE2B;BAG2;PRKRA;STK3;ATP1B2;PTGES3;CALR;DVL1;HSPB1;MORC3;SMAD3;TBL1X;HSPA1A;OTUD3;CCT4;PEX6;HSP90AA1;TBRG1;UXT;NAA30;MT3;NCLN;DNAJA3;TUBA1A;CRTAP;TMC6;HSPA1B;CCT5;CCT3;ZNF207;PPARGC1A;PER3;CBX4;WIZ;RUVBL1;AKT2;CCNH;USP2;USP33	0.321775918075361	seven_family_primary_axis															
min30_primary	30	primary	OPC	ALS_vs_Ctrl_mean	small_GTPase	Small GTPase	1.92895220727043	0.00000355496522489143	0.00002488475657424	0.00002488475657424	0.000064375098727079	positive	161	0.406625878058734	12825	TIAM2;PLEKHG4B;ARHGEF3;RIT2;RAPGEF3;VAV3;RASGEF1C;ABR;PLEKHG1;TIAM1;RGL2;PLCE1;RHOU;DOCK7;RALGDS;ARHGAP25;ARL3;ARHGEF17;RACGAP1;ARHGAP24;SOS1;ARHGAP18;ARHGAP1;DOCK2;RHOQ;DOCK8;MCF2L;MCF2;KALRN;SYDE2;RHOC;ARHGEF12;RND2;MYO9A;FAM13B;RERG;VAV2;NET1;ARHGAP21;RHOB;CCDC88C;ARHGAP23;ARHGEF10L;PREX1;ARHGAP39;GDI2;RAC3;ECT2;AKAP13;FGD1;RALGPS2;DVL2;SRGAP2;NUCB2;DOCK6;ARAP1;DOCK4;RASGEF1B	0.627256739718528	seven_family_primary_axis															
min30_primary	30	primary	OPC	ALS_vs_Ctrl_mean	synapse_junction	Synapse / junction assembly	0.978918188032707	0.48443579766537	0.492452830188679	0.492452830188679	0.534905660377359	positive	54	0.247822487282595	12825	SDK2;NLGN2;PLXNC1;SLITRK1;NRG3;MYO9A;ERBB4;NRXN2;PLXNB2;PLXNA3;PLXNA1;MAP1B;MAPT	0.0793434960134973	seven_family_primary_axis															
min30_primary	30	primary	OPC	FTD_vs_Ctrl_mean	axon_development	Axon development	2.28832436912744	0.000000069566434409223	0.000000486965040864561	0.000000486965040864561	0.00000438268536778105	positive	74	0.546846118483486	12825	MAPT;GPM6B;DSCAML1;MAP1B;NMNAT2;PARD3;RAB10;SPTBN4;OLIG1;CTNNA2;MARK2;GRM7;MAP1A;ACTB;MAPK8IP3;SLITRK4;SPG11;CAMSAP2;ANK3;PICALM;SLITRK1;ACTG1;APLP1;KLF7;CNTN4;DCHS2;NTNG1;SLITRK5;ATL1;DCC;MAP1S;STK11;CCK;TAOK2;APP;SPAST;BAIAP2;DOCK7;PITPNA;PLP1;NTNG2;OLIG2	0.704975715167238	seven_family_primary_axis															
min30_primary	30	primary	OPC	FTD_vs_Ctrl_mean	heat_response	Heat response	1.65287895721478	0.016733074334941	0.016733074334941	0.016733074334941	0.0319449600939783	positive	21	0.529933851294925	12825	HSP90AA1;SOD1;NOS1;HSPB1;DNAJA1;EIF2B3;MAP2K7;CRYAB	0.352487857583619	seven_family_primary_axis															
min30_primary	30	primary	OPC	FTD_vs_Ctrl_mean	mitochondrial_energy	Mitochondrial energy	1.65964428122134	0.015444060006784	0.016733074334941	0.016733074334941	0.030405493138356	positive	21	0.532102899542774	12825	C2orf69;COX4I1;UQCRB;COX7B;COX5B;COX7A2;MT-CO1;COX7C;COX5A;COX6B1;UQCRH;COX6C	0.380730400722792	seven_family_primary_axis															
min30_primary	30	primary	OPC	FTD_vs_Ctrl_mean	protein_folding	Protein folding	1.89011493429251	0.0000144496003957323	0.0000430310484720189	0.0000430310484720189	0.000113790603116392	positive	140	0.41271668652308	12825	HSP90AB1;DNAJB1;HSPH1;COX19;DNAJB2;BAG2;DNAJB6;PTGES3;WIPF1;PPIA;CCT3;CLU;HSPA4;ST13;HSP90AA1;TBCE;CCT4;BAG3;KHSRP;CHORDC1;HSPA4L;HSP90B1;CWC27;FKBP4;HSPA9;FKBP8;PFDN2;HSPB1;HSPA8;DNAJA1;NUDC;BAG1;AHSA1;CRYAB;PDIA4;PDIA6;TAPBP;CMC1;CCT5;P4HB;RIC8B;PFDN5;ERP44;CCT7;PDIA3;CALR;ATF6;DNAJC7;LMAN2L;TCP1;DNAJB5;NFYC;ENGASE;RIC8A;HSPA5;RUVBL2;TBCD;DNAJC5;FKBP5;COA3	0.593325476396405	seven_family_primary_axis															
min30_primary	30	primary	OPC	FTD_vs_Ctrl_mean	protein_stabilization	Protein stabilization	1.7130504306272	0.000121420436523203	0.000169988611132484	0.000169988611132484	0.000588422115458597	positive	180	0.361095409573762	12825	HSP90AB1;BAG2;PTGES3;HSPA1A;CCT3;ZSWIM7;CLU;FLOT2;HIP1;HSP90AA1;CCNH;CCT4;BAG3;NAA16;HSPA1B;SMAD7;FLNA;MT3;PFDN2;UBE2B;HSPB1;SMAD3;PARK7;MORC3;PPARGC1A;DVL1;GAPDH;MAPK8IP3;PIN1;STUB1;PINK1;EGLN3;BAG1;CRYAB;TMC6;RTN4;PEX6;RASSF2;USP2;PTEN;CCT5;PRKRA;PFN1;MCM8;EP300;GNAQ;EPHA4;PIK3R1;ATP1B1;PFDN5;WIZ;RPL23;NLK;POLR2E;CCT7;CBLB;C10orf90;AAK1;ANK2;CALR;UXT	0.538434096309916	seven_family_primary_axis															
min30_primary	30	primary	OPC	FTD_vs_Ctrl_mean	small_GTPase	Small GTPase	1.81066808677671	0.0000184418779165795	0.0000430310484720189	0.0000430310484720189	0.000129093145416057	positive	161	0.388474835104039	12825	RIN2;RASGEF1B;SOS1;PLEKHG4B;ARHGAP35;TIAM2;ARHGAP1;FAM13A;RIT2;RUNDC3A;MCF2L;RAPGEF4;DOCK4;SRGAP2;RASGEF1C;ARHGAP24;CHN1;ARHGEF25;GDI1;ARHGAP5;ARHGAP25;RND1;VAV3;STARD13;ARHGAP18;ARHGEF4;RAC1;ABR;DOCK11;PLD1;RALGDS;DOCK10;BCR;RAPGEF3;ARAP1;FGD4;SOS2;RAPGEF2;RALGAPA2;ARHGEF2;RAPGEF1;DIRAS2;RALGPS2;ARHGAP44;RALGAPA1;ARHGEF28;TIAM1;DOCK9;SIPA1L3;ITSN1;PLEKHG1;ARHGAP39;ARHGEF11;ARHGAP10;ARL3;DOCK6;ARHGAP26;GNA13;DOCK8;ARHGAP31;ARHGEF12;DOCK7;MYO9A;DOCK3	0.575610261071129	seven_family_primary_axis															
