estimand	cell_type	family_id	family_label	effect_discovery	adjusted_p_discovery	loo_direction_fraction_discovery	effect_replication	adjusted_p_replication	loo_direction_fraction_replication	same_direction	both_global_FDR_0_05	replication_class
FTD_vs_Control	OPC	protein_folding	Protein folding	1.89011493429251	0.000113790603116392	1	0.782268150883125	0.98509139375476	0.783783783783784	TRUE	FALSE	discovery_significant_direction_supported
FTD_vs_Control	OPC	protein_stabilization	Protein stabilization	1.7130504306272	0.000588422115458597	1	-1.00288531741737	0.593553719008265	0.918918918918919	FALSE	FALSE	discordant_direction
FTD_vs_Control	OPC	small_GTPase	Small GTPase	1.81066808677671	0.000129093145416057	1	1.29768643179756	0.0152995540323966	1	TRUE	TRUE	bidirectional_global_FDR_concordant
FTD_vs_Control	OPC	synapse_junction	Synapse / junction assembly	2.01168591718957	0.000528403557217806	1	1.47485713114834	0.000380414942101717	1	TRUE	TRUE	bidirectional_global_FDR_concordant
FTD_vs_Control	Oligodendrocyte	axon_development	Axon development	1.86260798257112	0.00109498894630711	1	0.988826654715216	0.644635382242785	0.918918918918919	TRUE	FALSE	discovery_significant_direction_supported
FTD_vs_Control	Oligodendrocyte	heat_response	Heat response	1.12325744253865	0.334964475603444	0.941176470588235	1.58749927976372	0.0120509147008666	1	TRUE	FALSE	replication_significant_direction_supported
FTD_vs_Control	Oligodendrocyte	mitochondrial_energy	Mitochondrial energy	2.00565036910229	0.00310560938645105	1	1.78545509256534	0.000271411411759724	1	TRUE	TRUE	bidirectional_global_FDR_concordant
FTD_vs_Control	Oligodendrocyte	protein_folding	Protein folding	1.90623831061021	6.4375098727079e-05	1	1.76135842209651	5.66738317960331e-05	1	TRUE	TRUE	bidirectional_global_FDR_concordant
FTD_vs_Control	Oligodendrocyte	protein_stabilization	Protein stabilization	1.60945522210013	0.00122547196288273	1	1.72783148209309	0.000249509415091195	1	TRUE	TRUE	bidirectional_global_FDR_concordant
FTD_vs_Control	Oligodendrocyte	small_GTPase	Small GTPase	1.83903316513648	6.4375098727079e-05	1	1.0488032627198	0.455561564809807	0.972972972972973	TRUE	FALSE	discovery_significant_direction_supported
FTD_vs_Control	Oligodendrocyte	synapse_junction	Synapse / junction assembly	1.30779727341311	0.127627511412745	1	0.901658446589466	0.909508196721312	0.918918918918919	TRUE	FALSE	direction_only
