cohort	cell_type	contrast	clr_effect	CI_low	CI_high	t	p_value	contrast_FDR	n_samples	n_donors	duplicate_correlation	analysis_role	compositional_fold_ratio	fold_ratio_CI_low	fold_ratio_CI_high	global_primary_FDR	cell	contrast_label	model_test	covariates	primary_FDR_family	statistical_unit
GSE219280	OPC	FTD_vs_Ctrl_mean	1.64573609417379	1.00570878589649	2.28576340245109	5.1462899406346	3.2508420584632e-06	2.27558944092424e-05	33	17	0.236677165090426	primary	5.18482502212512	2.73384429655788	9.83319004081604	6.82676832277272e-05	OPC	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Oligo	FTD_vs_Ctrl_mean	-0.0428559116398994	-1.04980076561047	0.964088942330674	-0.0876278468821431	0.930866418269244	0.930866418269244	33	17	0.236677165090426	primary	0.958049423892642	0.350007475690708	2.62239741254016	0.960895481754126	Oligodendrocyte	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	VLMC	FTD_vs_Ctrl_mean	0.756389641518491	0.0936857087514722	1.41909357428551	2.28432864544401	0.0260012821635999	0.0528383161811911	33	17	0.236677165090426	primary	2.13057019593437	1.09821453245467	4.13337214693176	0.085354203061924	VLMC	FTD vs control	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Astro	ALS_vs_FTD_mean	-0.656546811707189	-1.30357096836221	-0.00952265505217109	-2.03084960269004	0.0468275899465832	0.0819482824065206	33	17	0.236677165090426	primary	0.518639204618563	0.271560326194397	0.990522541848843	0.122922423609781	Astrocyte	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Endo	ALS_vs_FTD_mean	-1.34332764972238	-2.02835376014602	-0.658301539298746	-3.9247083525203	0.00023134393258873	0.00161940752812111	33	17	0.236677165090426	primary	0.260975786048852	0.131551908981919	0.51772993209226	0.00242911129218167	Endo	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_deep	ALS_vs_FTD_mean	0.446782055566689	-0.152975385536205	1.04653949666958	1.49091415498191	0.141361938456566	0.16492226153266	33	17	0.236677165090426	primary	1.56327355538701	0.858150844474324	2.84777929743733	0.24738339229899	Exc_deep	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_intermediate	ALS_vs_FTD_mean	0.897091955774442	0.294862143189233	1.49932176835965	2.98131093154401	0.00417922132622864	0.0146272746418002	33	17	0.236677165090426	primary	2.45246086654731	1.34294121233215	4.47865047755971	0.0292545492836005	Exc_intermediate	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Exc_upper	ALS_vs_FTD_mean	1.02024913807426	0.358874777666096	1.68162349848242	3.08738964358042	0.00308625457308864	0.0144025213410803	33	17	0.236677165090426	primary	2.77388575844027	1.43171750733831	5.37427401805151	0.0259245384139446	Exc_upper	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_LAMP5	ALS_vs_FTD_mean	0.211732813696945	-0.340138283940022	0.763603911333912	0.767861830566813	0.445660684627179	0.466196289703944	33	17	0.236677165090426	primary	1.23581764741451	0.711671903163069	2.14599628125434	0.631620779598892	Inh_LAMP5	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
GSE219280	Inh_PVALB	ALS_vs_FTD_mean	0.809815920014227	0.207319305021683	1.41231253500677	2.69007420451843	0.00929734800152229	0.0260325744042624	33	17	0.236677165090426	primary	2.24749422988961	1.23037537410104	4.10543840498895	0.0488110770079921	Inh_PVALB	ALS vs FTD	donor-blocked limma linear model of centred-log-ratio captured-nucleus composition	diagnosis-by-region design; repeated regions blocked by donor	BH across prespecified primary CLR composition contrasts	33 donor-region observations from 17 biological donors
