estimand	cell_type	gene	discovery_log2FC	discovery_ci_low	discovery_ci_high	discovery_adjusted_p	replication_log2FC	replication_ci_low	replication_ci_high	replication_adjusted_p	same_direction	replication_class	discovery_n_donors	replication_n_donors	model_test	adjusted_p_scope	CI_definition
ALS_vs_FTD	Astrocyte	HSP90AB1	-3.94789786082788	-5.90912761192025	-1.98666810973551	0.180281313293335	0.268716322487512	-0.814833364075189	1.35226600905021	0.919611587496366	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	MAP1B	-2.7106156058624	-4.83409755956074	-0.587133652164061	0.441895802555089	1.04402742450104	0.0033634693356297	2.08469137966645	0.545003344716789	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	MAPT	0.36149535707357	0.00934528414027591	0.713645430006864	0.587295698919112	0.321620799516332	-0.260845776654812	0.904087375687476	0.772606865323867	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	PARK7	-3.99192576927195	-6.65659786195348	-1.32725367659042	0.338111199716118	0.133104223552542	-0.724978884728044	0.991187331833128	0.952274056835889	FALSE	discordant_direction	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	Astrocyte	STARD13	-0.804742236378638	-1.31128489795301	-0.298199574804262	0.302908422627711	-0.65317780162655	-1.24993657141362	-0.0564190318394778	0.498969150408142	TRUE	direction_only	16	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	OPC	ARHGAP35	-0.513156174682125	-0.738589927274871	-0.28772242208938	0.125015332729048	-0.485572270025168	-1.02636473004449	0.0552201899941492	0.776228843479065	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	OPC	ARHGAP39	-0.14535701330781	-0.636373718054751	0.345659691439131	0.943872024008682	0.250371002592638	-0.416083062121104	0.91682506730638	0.929051204365154	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	OPC	BAG3	-0.816969681286028	-1.92856565209392	0.294626289521864	0.758664863337311	0.168485134010168	-1.70647001409027	2.04344028211061	0.986095838530884	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	OPC	BCR	-0.184169056931547	-0.419131293577108	0.050793179714014	0.731161968306899	-0.260931289784864	-0.896554719737246	0.374692140167517	0.918072071063299	TRUE	direction_only	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
ALS_vs_FTD	OPC	CCT5	-0.315995758899819	-1.13478336582038	0.502791848020747	0.915475505591739	0.192732754423504	-0.637306003618528	1.02277151246554	0.961726718848894	FALSE	discordant_direction	17	37	cohort-specific limma donor-aware gene contrast	gene-model adjusted FDR within each cohort/model collection; no combined gene-level FDR	normal-approximation 95% CI reconstructed from frozen model estimate and SE
