feature	cell_type	log2FC_per_pTDP_level	logCPM	F	p_value	FDR	layer	n_donors	model	target_global_FDR	loo_same_direction_fraction	model_test	candidate_FDR_family	transcriptome_FDR_family	valid_LOO_iterations	uncertainty_interval
BCR	MG	0.0201143251976162	5.64490265230594	0.00564573171393204	0.94080326548246	0.988096858614933	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.988320055661227	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BCR	ODC	0.254462676074511	5.23431059068125	1.12867733024774	0.300084064463838	0.988070824233934	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.605254299511809	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
BCR	OPC	0.224331245571098	7.49933228206472	1.35867711117182	0.258270495782582	0.999794890344818	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.558803436329585	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT5	ASC	-0.735333194652874	4.70329213674036	3.97814221731803	0.0589103305673817	0.620431683772245	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.233573267452785	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT5	EX	0.724748446267564	4.41833267329127	3.24148498181738	0.0924553198680044	0.282583081225136	RNA	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.282107258058783	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT5	IN	0.350716241383634	4.23703087833605	1.8216871337686	0.193200107119338	0.666607007301161	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.459816254944025	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT5	MG	0.324864790485626	5.14113702281549	2.11154951326139	0.160653473561134	0.564661190338772	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.407623821822847	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT5	ODC	0.211663775334107	5.0682438929222	1.08519881404814	0.309342486370582	0.988070824233934	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.613529264634988	0.928571428571429	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT5	OPC	0.0511869970767391	4.95617040636984	0.0372079052125738	0.849109832026738	0.999794890344818	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.988320055661227	0.857142857142857	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT8	ASC	-0.693271265271692	4.38967207104757	2.92704788256208	0.101487948811701	0.725105194079741	RNA	14	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.301926647714811	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
CCT8	EX	0.919004008033933	4.87869914534752	4.88930613673461	0.0433848121428659	0.21153556421983	RNA	12	ptdp_order+z_median_TSS+z_median_fragments+z_median_RNA_UMI	0.201632641280649	1	edgeR robust quasi-likelihood ordinal pTDP trend adjusted for TSS enrichment, fragment depth and RNA UMI	target_global_FDR: BH across 119 frozen candidate RNA tests, including 17 whole-tissue rows	FDR: BH across all retained transcripts within the fitted donor-cell-type model	14	not available in frozen edgeR target export; no CI displayed or inferred
