gene	evidence_tier	evidence_score	layer	value	supported	layer_label
COA3	Tier 2: robust transcriptomic driver	19	proteomics_detected	1	TRUE	Proteomics
DOCK7	Tier 2: robust transcriptomic driver	19	proteomics_detected	1	TRUE	Proteomics
STARD13	Tier 2: robust transcriptomic driver	19	proteomics_detected	0	FALSE	Proteomics
BAG3	Tier 1: convergent multi-layer driver	24	external_or_crossmodal_layers	2	TRUE	External/cross-modal
HSP90AA1	Tier 1: convergent multi-layer driver	24	external_or_crossmodal_layers	2	TRUE	External/cross-modal
HSP90AB1	Tier 1: convergent multi-layer driver	24	external_or_crossmodal_layers	2	TRUE	External/cross-modal
CHORDC1	Tier 1: convergent multi-layer driver	23	external_or_crossmodal_layers	2	TRUE	External/cross-modal
ARHGAP35	Tier 1: convergent multi-layer driver	22	external_or_crossmodal_layers	2	TRUE	External/cross-modal
PARK7	Tier 2: robust transcriptomic driver	22	external_or_crossmodal_layers	1	TRUE	External/cross-modal
CCT5	Tier 1: convergent multi-layer driver	21	external_or_crossmodal_layers	2	TRUE	External/cross-modal
ARHGAP39	Tier 1: convergent multi-layer driver	20	external_or_crossmodal_layers	2	TRUE	External/cross-modal
COX5B	Tier 1: convergent multi-layer driver	20	external_or_crossmodal_layers	2	TRUE	External/cross-modal
COX7C	Tier 1: convergent multi-layer driver	20	external_or_crossmodal_layers	2	TRUE	External/cross-modal
MAP1B	Tier 2: robust transcriptomic driver	20	external_or_crossmodal_layers	1	TRUE	External/cross-modal
MAPT	Tier 2: robust transcriptomic driver	20	external_or_crossmodal_layers	1	TRUE	External/cross-modal
BCR	Tier 2: robust transcriptomic driver	19	external_or_crossmodal_layers	1	TRUE	External/cross-modal
CCT8	Tier 2: robust transcriptomic driver	19	external_or_crossmodal_layers	2	TRUE	External/cross-modal
COA3	Tier 2: robust transcriptomic driver	19	external_or_crossmodal_layers	1	TRUE	External/cross-modal
DOCK7	Tier 2: robust transcriptomic driver	19	external_or_crossmodal_layers	2	TRUE	External/cross-modal
STARD13	Tier 2: robust transcriptomic driver	19	external_or_crossmodal_layers	2	TRUE	External/cross-modal
